name;type;carrier;tech;capacity;capacity_cost;marginal_cost;carrier_cost;efficiency;from_bus;to_bus;expandable;verbose_name
surface-irrigation;conversion;water;irrigation;0;10;0;0;0.9;irrigation-bus;crop;true;"Surface Irrigation"
center-pivot-irrigation;conversion;water;irrigation;0;10;0;0;0.9;irrigation-bus;crop;true;"Center-Pivot-Irrigation"
irrigation-sprinkler;conversion;water;irrigation;0;10;0;0;0.9;irrigation-bus;crop;true;"Irrigation Sprinkler"
subsurface-drip-irrigation;conversion;water;irrigation;0;10;0;0;0.9;irrigation-bus;crop;true;"Subsurface Drip Irrigation"
drip-irrigation;conversion;water;irrigation;0;10;0;0;0.9;irrigation-bus;crop;true;"Drip Irrigation"
furrow-irrigation;conversion;water;irrigation;0;10;0;0;0.9;irrigation-bus;crop;true;"Furrow Irrigation"
border-irrigation;conversion;water;irrigation;0;10;0;0;0.9;irrigation-bus;crop;true;"Border Irrigation"
basin-irrigation;conversion;water;irrigation;0;10;0;0;0.9;irrigation-bus;crop;true;"Basin Irrigation"
smart-irrigation;conversion;water;irrigation;0;10;0;0;1.1;smart-irrigation-bus;crop;true;"Smart Irrigation"
watering-can;conversion;water;irrigation;0;10;0;0;0.5;irrigation-bus;irrigation_bus;true;"Watering Can"
